employee_id,effective_date,change_type,old_department,new_department,old_sub_department,new_sub_department,old_job_level,new_job_level,old_job_title,new_job_title,old_manager_id,new_manager_id
mjohnson@justkaizen.com,10/21/2023,Hire,,Engineering,,QA,,P3,,Senior QA Engineer,,bjohnson@justkaizen.com
dwalker@justkaizen.com,07/18/2022,Hire,,Engineering,,QA,,P1,,Associate QA Engineer,,ladams@justkaizen.com
nrhodes@justkaizen.com,09/09/2022,Hire,,Engineering,,QA,,P2,,QA Engineer,,sdecker@justkaizen.com
smiller@justkaizen.com,02/14/2022,Hire,,Engineering,,Data Engineering,,P2,,Data Engineer,,jadkins2@justkaizen.com
jjohnson@justkaizen.com,10/09/2023,Hire,,Engineering,,DevOps & SRE,,P3,,Senior Site Reliability Engineer,,nortiz@justkaizen.com
jjohnson@justkaizen.com,04/24/2024,Promotion,Engineering,Engineering,DevOps & SRE,DevOps & SRE,P2,P3,Site Reliability Engineer,Senior Site Reliability Engineer,nortiz@justkaizen.com,nortiz@justkaizen.com
dwagner@justkaizen.com,04/25/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,jgutierrez@justkaizen.com
dwagner@justkaizen.com,09/29/2022,Promotion,Engineering,Engineering,Platform,Platform,P2,P3,Software Engineer,Senior Software Engineer,jgutierrez@justkaizen.com,jgutierrez@justkaizen.com
agonzalez@justkaizen.com,10/09/2024,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,jgill@justkaizen.com
mgardner@justkaizen.com,09/03/2023,Hire,,Engineering,,DevOps & SRE,,P1,,Associate Site Reliability Engineer,,gchapman@justkaizen.com
dlawrence@justkaizen.com,09/22/2022,Hire,,Engineering,,Developer Experience,,P2,,DevEx Engineer,,sdecker@justkaizen.com
rsmith@justkaizen.com,01/29/2022,Hire,,Engineering,,Data Engineering,,P1,,Associate Data Engineer,,mherrera@justkaizen.com
rwolfe@justkaizen.com,04/25/2024,Hire,,Engineering,,AI/ML,,P2,,AI/ML Engineer,,ldixon@justkaizen.com
mmoore@justkaizen.com,11/22/2021,Hire,,Engineering,,Platform,,P2,,Software Engineer,,mtravis@justkaizen.com
mmoore@justkaizen.com,06/05/2023,Promotion,Engineering,Engineering,Platform,Platform,P1,P2,Associate Software Engineer,Software Engineer,mtravis@justkaizen.com,mtravis@justkaizen.com
trogers@justkaizen.com,03/29/2022,Hire,,Engineering,,QA,,P1,,Associate QA Engineer,,ddavidson@justkaizen.com
adavis@justkaizen.com,11/24/2020,Hire,,Engineering,,Infrastructure,,P1,,Associate Infrastructure Engineer,,gshelton@justkaizen.com
rmunoz@justkaizen.com,01/16/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,fwright@justkaizen.com
rmunoz@justkaizen.com,01/24/2022,Promotion,Engineering,Engineering,Platform,Platform,P2,P3,Software Engineer,Senior Software Engineer,fwright@justkaizen.com,fwright@justkaizen.com
rblair@justkaizen.com,12/16/2024,Hire,,Engineering,,Platform,,P2,,Software Engineer,,rkeith@justkaizen.com
kdudley@justkaizen.com,06/10/2022,Hire,,Engineering,,DevOps & SRE,,P2,,Site Reliability Engineer,,jholmes@justkaizen.com
jarnold@justkaizen.com,06/13/2022,Hire,,Engineering,,Security,,P2,,Security Engineer,,zhuff@justkaizen.com
mmontgomery@justkaizen.com,05/08/2022,Hire,,Engineering,,AI/ML,,P3,,Senior AI/ML Engineer,,pharris@justkaizen.com
sray@justkaizen.com,09/21/2022,Hire,,Engineering,,QA,,P1,,Associate QA Engineer,,ssuarez@justkaizen.com
jwilliams@justkaizen.com,08/23/2021,Hire,,Engineering,,Platform,,P3,,Senior Software Engineer,,crobinson@justkaizen.com
jwilliams@justkaizen.com,06/18/2023,Promotion,Engineering,Engineering,Platform,Platform,P2,P3,Software Engineer,Senior Software Engineer,crobinson@justkaizen.com,crobinson@justkaizen.com
croberts@justkaizen.com,12/01/2022,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,kreyes@justkaizen.com
ahall@justkaizen.com,05/15/2020,Hire,,Engineering,,Infrastructure,,P2,,Infrastructure Engineer,,jmartin@justkaizen.com
bramirez@justkaizen.com,04/10/2022,Hire,,Engineering,,AI/ML,,P1,,Associate AI/ML Engineer,,ekelley@justkaizen.com
mdiaz@justkaizen.com,11/16/2022,Hire,,Engineering,,Security,,P3,,Senior Security Engineer,,jmiller@justkaizen.com
jclark@justkaizen.com,03/15/2021,Hire,,Engineering,,Platform,,P2,,Software Engineer,,cmoran@justkaizen.com
