Candidate_ID,Requisition_ID,Requisition_Fill_Start_Date,Outcome,Job,Job_Status,Recruiter,Hiring_Manager,Origin,Source,Current_Interview_Stage,Furthest_Stage_Reached,Archive_Reason,Offer_Decline_Category,Candidate_Application_Date,Candidate_Stage_1_Interview_Date,Candidate_Stage_2_Interview_Date,Candidate_Offer_Stage_Entered_Date,Candidate_Offer_Accept_Date,Candidate_Start_Date
CAND-000001,R-ENG-1001-JustKaizen-0001,08/24/2024,Hired,Senior QA Engineer,closed,Raymond Hayes,Brian Johnson,applied,Career Page,Hired,Hired,,,09/07/2024,09/17/2024,10/01/2024,10/07/2024,10/12/2024,10/21/2024
CAND-000002,R-ENG-1001-JustKaizen-0001,08/24/2024,Archived,Senior QA Engineer,closed,Raymond Hayes,Brian Johnson,sourced,Talent Sourcer Outreach,Archived,Recruiter Screen,Not qualified,,09/06/2024,09/13/2024,,,,
CAND-000003,R-ENG-1001-JustKaizen-0001,08/24/2024,Archived,Senior QA Engineer,closed,Raymond Hayes,Brian Johnson,referred,Referral,Archived,Applied,Not qualified,,09/11/2024,,,,,
CAND-000004,R-ENG-1001-JustKaizen-0002,05/17/2023,Hired,Associate QA Engineer,closed,Kimberly Williams,Leslie Adams,sourced,LinkedIn,Hired,Hired,,,05/29/2023,06/07/2023,06/20/2023,06/27/2023,07/04/2023,07/18/2023
CAND-000005,R-ENG-1001-JustKaizen-0002,05/17/2023,Archived,Associate QA Engineer,closed,Kimberly Williams,Leslie Adams,applied,Career Page,Archived,Offer,Offer declined,Location,05/30/2023,06/06/2023,06/13/2023,06/20/2023,,
CAND-000006,R-ENG-1001-JustKaizen-0003,07/19/2023,Hired,QA Engineer,closed,Michael Brown,Shawn Decker,sourced,Talent Sourcer Outreach,Hired,Hired,,,07/30/2023,08/07/2023,08/16/2023,08/22/2023,08/24/2023,09/09/2023
CAND-000007,R-ENG-1001-JustKaizen-0003,07/19/2023,Archived,QA Engineer,closed,Michael Brown,Shawn Decker,applied,Career Page,Archived,Applied,Not qualified,,08/06/2023,,,,,
CAND-000008,R-ENG-1001-JustKaizen-0003,07/19/2023,Archived,QA Engineer,closed,Michael Brown,Shawn Decker,referred,Referral,Archived,Recruiter Screen,Not qualified,,08/16/2023,08/23/2023,,,,
CAND-000009,R-ENG-1001-JustKaizen-0004,12/19/2022,Hired,Data Engineer,closed,Tara Long,Jason Adkins,applied,LinkedIn,Hired,Hired,,,12/25/2022,01/06/2023,01/20/2023,01/27/2023,01/29/2023,02/14/2023
CAND-000010,R-ENG-1001-JustKaizen-0004,12/19/2022,Archived,Data Engineer,closed,Tara Long,Jason Adkins,applied,Career Page,Archived,Phone Screen,Not qualified,,01/14/2023,01/21/2023,01/28/2023,,,
CAND-000011,R-ENG-1001-JustKaizen-0004,12/19/2022,Archived,Data Engineer,closed,Tara Long,Jason Adkins,referred,Referral,Archived,Onsite,Position filled,,01/08/2023,01/15/2023,01/22/2023,01/29/2023,,
CAND-000012,R-ENG-1001-JustKaizen-0005,08/17/2024,Hired,Senior Site Reliability Engineer,closed,Susan Conley,Nathan Ortiz,referred,Referral,Hired,Hired,,,08/28/2024,09/05/2024,09/18/2024,09/23/2024,09/27/2024,10/09/2024
