Question_ID,Reviewee_Email,Cycle_Name,Reviewer_Name,Reviewer_email,Reviewee_Name,Question,Score,Score_Description,Calibrated_Score,Calibrated_Score_Description,Response_Text,Response_Type
Q9fb0b1978a80,ahall@justkaizen.com,2021 Mid-Year Review Cycle,Jared Martin,jmartin@justkaizen.com,Angela Hall,Performance Category,1,1 - Outstanding, --, --, --,manager
Q3debee2005e3,zhicks@justkaizen.com,2021 Mid-Year Review Cycle,Jeffrey Carpenter,jcarpenter@justkaizen.com,Zachary Hicks,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qbbb45d655a37,rhenderson@justkaizen.com,2021 Mid-Year Review Cycle,Robert Ramirez,rramirez@justkaizen.com,Rebecca Henderson,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Qe5acab0e00a7,ale@justkaizen.com,2021 Mid-Year Review Cycle,Richard Moreno,rmoreno@justkaizen.com,Alexandra Le,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q6f03080cda6e,anguyen@justkaizen.com,2021 Mid-Year Review Cycle,Justin Cohen,jcohen@justkaizen.com,April Nguyen,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q20cb42b39676,tduncan@justkaizen.com,2021 Mid-Year Review Cycle,Jason Adkins,jadkins2@justkaizen.com,Timothy Duncan,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q231dbda60bd8,jowens@justkaizen.com,2021 Mid-Year Review Cycle,John Pierce,jpierce@justkaizen.com,Jessica Owens,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q86a86895104d,mnunez@justkaizen.com,2021 Mid-Year Review Cycle,Jeremy Callahan,jcallahan@justkaizen.com,Monica Nunez,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qfbdd60a7188d,dbowers@justkaizen.com,2021 Mid-Year Review Cycle,Joshua Gutierrez,jgutierrez@justkaizen.com,Deborah Bowers,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qd56ff9fcd4da,blopez@justkaizen.com,2021 Mid-Year Review Cycle,Cody Robinson,crobinson@justkaizen.com,Bobby Lopez,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q6026b4115737,jsilva@justkaizen.com,2021 Mid-Year Review Cycle,Richard Weber,rweber@justkaizen.com,Jennifer Silva,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Qb5c1f0bce5ec,zferrell@justkaizen.com,2021 Mid-Year Review Cycle,Debra Christian,dchristian@justkaizen.com,Zachary Ferrell,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qa9e23f57bd74,raguilar@justkaizen.com,2021 Mid-Year Review Cycle,Brandon Walker,bwalker2@justkaizen.com,Ruben Aguilar,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q0369f0a08fa3,cspears@justkaizen.com,2021 Mid-Year Review Cycle,Samuel Jones,sjones2@justkaizen.com,Christopher Spears,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q60bfe75ef562,ggalvan@justkaizen.com,2021 Mid-Year Review Cycle,Christopher Pierce,cpierce@justkaizen.com,Gary Galvan,Performance Category,1,1 - Outstanding, --, --, --,manager
Qc7509bbe2ad1,bhamilton@justkaizen.com,2021 Mid-Year Review Cycle,Sandra Warner,swarner@justkaizen.com,Brian Hamilton,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qb81a71fc6174,ldixon@justkaizen.com,2021 Mid-Year Review Cycle,Brandon Walker,bwalker2@justkaizen.com,Larry Dixon,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q8fa9ad241363,jlewis3@justkaizen.com,2021 Mid-Year Review Cycle,Madison Poole,mpoole@justkaizen.com,Jessica Lewis,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qcbd0560e22e3,arobertson@justkaizen.com,2021 Mid-Year Review Cycle,Brian Burton,bburton@justkaizen.com,Angela Robertson,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Qbae57488ff3b,skelley@justkaizen.com,2021 Mid-Year Review Cycle,Rhonda Lee,rlee@justkaizen.com,Sandra Kelley,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q056368021626,smanning@justkaizen.com,2021 Mid-Year Review Cycle,Jeffrey Carpenter,jcarpenter@justkaizen.com,Steven Manning,Performance Category,1,1 - Outstanding, --, --, --,manager
Qf45f259330e5,dwalsh@justkaizen.com,2021 Mid-Year Review Cycle,William Simpson,wsimpson@justkaizen.com,Danielle Walsh,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Qd920e56b80f5,rboyd@justkaizen.com,2021 Mid-Year Review Cycle,Ruth Evans,revans@justkaizen.com,Ralph Boyd,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q5896434e85df,lhill@justkaizen.com,2021 Mid-Year Review Cycle,Christopher Pierce,cpierce@justkaizen.com,Lori Hill,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q40bfcf0cae05,jmartin@justkaizen.com,2021 Mid-Year Review Cycle,Amanda Reynolds,areynolds@justkaizen.com,Jared Martin,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Q46a9353e889f,aryan@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Martinez,mmartinez@justkaizen.com,Alicia Ryan,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q252bd2eb977a,mharrington@justkaizen.com,2021 Mid-Year Review Cycle,Donna Martinez,dmartinez2@justkaizen.com,Matthew Harrington,Performance Category,2,2 - Exceeds Expectations, --, --, --,manager
Qa584f0a11a0c,soconnell@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Wang,mwang@justkaizen.com,Sabrina Oconnell,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q7f006e994d11,tsanders@justkaizen.com,2021 Mid-Year Review Cycle,Donna Martinez,dmartinez2@justkaizen.com,Tyler Sanders,Performance Category,5,5 - Does Not Meet Expectations, --, --, --,manager
Qe71751ae28f2,mburton@justkaizen.com,2021 Mid-Year Review Cycle,Alicia Ryan,aryan@justkaizen.com,Melissa Burton,Performance Category,4,4 - Partially Meets Expectations, --, --, --,manager
Q1adf3e9205a7,jwood@justkaizen.com,2021 Mid-Year Review Cycle,Melissa Wang,mwang@justkaizen.com,Jeffrey Wood,Performance Category,3,3 - Strong Contributor, --, --, --,manager
Q2a08b1795dbe,dmorton@justkaizen.com,2021 Mid-Year Review Cycle,Christine Lynch,clynch@justkaizen.com,Debra Morton,Performance Category,3,3 - Strong Contributor, --, --, --,manager
